customer_id,age,monthly_income,loan_amount,emi_total,years_with_company,monthly_transactions,credit_score,credit_utilization,late_payment_count,savings_amount,avg_account_balance,emi_paid
C0001,59,246999,978967,113,9,42,850,39,10,638516,211079,110
C0002,49,112943,618911,80,14,18,550,89,4,789586,1181784,72
C0003,35,216056,1784496,30,14,75,586,91,6,65191,574430,25
C0004,63,67495,1244058,44,2,36,793,88,2,22243,547706,40
C0005,28,134229,1579759,35,10,60,667,60,10,380567,1454927,34
C0006,41,196819,1549911,118,11,5,852,72,1,511322,810166,107
C0007,59,230762,66351,34,1,65,827,38,4,304238,995513,27
C0008,39,216450,608676,97,14,90,821,89,10,874512,619136,95
C0009,43,177627,283688,111,2,101,816,25,11,274900,674742,106
C0010,31,182695,64968,64,2,52,702,94,5,95620,437552,59
C0011,31,193381,386403,32,5,16,822,55,1,38432,700697,21
C0012,44,241852,1848592,93,1,33,894,33,11,196400,1385780,89
C0013,56,206738,90596,113,11,37,633,52,3,18019,1251554,107
C0014,60,249535,687958,102,2,37,820,88,8,121466,998354,98
C0015,44,157139,1574600,48,5,26,556,45,5,40686,798311,40
C0016,23,42265,764617,60,14,119,894,24,7,903645,218307,55
C0017,42,97445,1717032,36,5,74,564,88,6,149710,1307191,33
C0018,22,177488,623832,50,7,99,669,55,2,100078,772108,45
C0019,44,104772,1534373,41,4,113,815,47,11,638396,210259,31
C0020,64,121901,1659089,54,14,88,682,30,10,851497,1438772,52
C0021,50,208863,1494155,89,6,84,886,10,3,705022,901306,77
C0022,58,182197,1326357,109,6,37,683,34,4,409447,447090,107
C0023,22,232537,925706,65,9,15,680,60,10,819278,908610,54
C0024,41,78709,698516,43,13,38,580,27,3,70639,1140022,33
C0025,53,66060,1388156,106,3,105,848,13,5,551425,1132040,101
C0026,32,56411,345229,60,9,59,877,54,10,50977,250491,60
C0027,42,236927,1776857,13,11,105,710,32,1,579645,1249967,6
C0028,64,77684,1045706,58,14,96,828,34,8,243596,574746,58
C0029,45,191656,1893904,114,13,67,848,39,8,255715,597722,109
C0030,47,96947,1112361,110,9,10,817,87,0,507847,272436,98
C0031,62,187674,1217035,34,13,48,815,55,9,594015,434085,31
C0032,48,139025,1943393,17,13,5,818,37,3,158118,175700,9
C0033,36,97740,1060490,96,13,41,792,47,2,591295,481047,86
C0034,35,43899,922596,101,14,90,829,43,4,881155,1079959,97
C0035,64,246125,890237,105,2,101,832,90,5,981749,587878,97
C0036,23,225660,1081179,52,14,22,829,85,6,561387,726447,43
C0037,57,205482,1007157,53,2,106,860,67,1,875405,861957,44
C0038,27,82852,1273117,105,7,97,559,53,5,112642,462115,105
C0039,41,194626,442816,64,8,107,697,45,2,486503,120768,63
C0040,29,168085,475119,83,3,6,722,42,6,369857,1080522,83
C0041,59,201436,381686,50,7,69,601,76,11,817693,275863,42
C0042,38,155320,1045042,108,7,74,824,66,1,126983,1294509,101
